frame,id_tracking_easy,tipo_objeto_easy,confianza_easy,x1,y1,x2,y2,texto_matricula_easy,id_tracking_tess,tipo_objeto_tess,confianza_tess,texto_matricula_tess,similitud
97,,matricula,0.27790567278862,1439,332,1512,379,,,matricula,0.27790567278862,,1.0
157,,matricula,0.2852821946144104,1371,326,1485,367,,,matricula,0.2852821946144104,,1.0
647,,matricula,0.4399299025535583,1706,411,1778,437,,,matricula,0.4399299025535583,,1.0
776,,matricula,0.4314414858818054,855,396,941,435,207GC,,matricula,0.4314414858818054,,0.0
777,,matricula,0.529198169708252,834,401,924,434,Zom53713 Lxc,,matricula,0.529198169708252,,0.0
779,,matricula,0.3766823410987854,814,405,908,439,5453713KKC,,matricula,0.3766823410987854,,0.0
780,,matricula,0.3391956984996795,805,410,900,446,53713 LKC,,matricula,0.3391956984996795,,0.0
781,,matricula,0.4242899119853973,789,421,887,451,@E7BEC,,matricula,0.4242899119853973,,0.0
782,,matricula,0.697378933429718,783,424,882,454,12713 LKc,,matricula,0.697378933429718,,0.0
783,,matricula,0.6259549260139465,764,421,858,458,3713 LKc,,matricula,0.6259549260139465,,0.0
784,,matricula,0.6142296195030212,745,425,845,463,53713KKC,,matricula,0.6142296195030212,,0.0
785,,matricula,0.7257311940193176,727,430,828,472,2l2712 KKc,,matricula,0.7257311940193176,,0.0
786,,matricula,0.7366428375244141,712,433,809,474,JzZ2GKC,,matricula,0.7366428375244141,,0.0
787,,matricula,0.7334033250808716,682,435,797,477,507Ec,,matricula,0.7334033250808716,,0.0
788,,matricula,0.7312796115875244,668,443,780,481,27ED,,matricula,0.7312796115875244,,0.0
788,,matricula,0.4564172327518463,664,432,792,485,5245,,matricula,0.4564172327518463,,0.0
789,,matricula,0.6203669309616089,651,451,755,488,@271DC,,matricula,0.6203669309616089,,0.0
789,,matricula,0.3916281461715698,643,441,768,492,,,matricula,0.3916281461715698,,1.0
790,,matricula,0.7334624528884888,621,455,738,494,a37i2zE,,matricula,0.7334624528884888,,0.2
791,,matricula,0.7565096020698547,597,457,714,500,13722,,matricula,0.7565096020698547,,0.0
792,,matricula,0.8017083406448364,567,469,697,508,@7G5e,,matricula,0.8017083406448364,,0.0
793,,matricula,0.6717311143875122,535,476,664,515,02722,,matricula,0.6717311143875122,,0.0
794,,matricula,0.7354639172554016,505,478,632,525,i272252,,matricula,0.7354639172554016,,0.0
795,,matricula,0.7043639421463013,466,488,604,536,122E,,matricula,0.7043639421463013,,0.0
796,,matricula,0.7423223257064819,430,501,562,548,1275,,matricula,0.7423223257064819,,0.0
797,,matricula,0.6684743762016296,377,509,531,560,,,matricula,0.6684743762016296,,1.0
798,,matricula,0.6008298993110657,334,522,480,574,@2222,,matricula,0.6008298993110657,,0.0
799,,matricula,0.6950078010559082,270,532,435,592,922,,matricula,0.6950078010559082,,0.0
800,,matricula,0.6301155090332031,194,554,376,607,,,matricula,0.6301155090332031,,1.0
801,,matricula,0.6481730341911316,122,568,304,628,,,matricula,0.6481730341911316,,1.0
802,,matricula,0.5768716335296631,51,587,231,654,,,matricula,0.5768716335296631,,1.0
905,,matricula,0.3514321446418762,1482,455,1551,486,,,matricula,0.3514321446418762,,1.0
909,,matricula,0.5370959043502808,1558,482,1635,511,,,matricula,0.5370959043502808,,1.0
910,,matricula,0.4303930401802063,1586,489,1658,518,,,matricula,0.4303930401802063,,1.0
912,,matricula,0.5594766736030579,1644,505,1719,537,,,matricula,0.5594766736030579,,1.0
913,,matricula,0.4834454953670501,1679,517,1756,551,,,matricula,0.4834454953670501,,1.0
914,,matricula,0.5217520594596863,1710,523,1794,561,,,matricula,0.5217520594596863,,1.0
915,,matricula,0.5588762760162354,1747,538,1840,573,,,matricula,0.5588762760162354,,1.0
916,,matricula,0.5513058304786682,1789,550,1886,591,,,matricula,0.5513058304786682,,1.0
991,,matricula,0.3437305688858032,1818,442,1906,490,,,matricula,0.3437305688858032,,1.0
991,,matricula,0.2674952447414398,1814,437,1908,506,,,matricula,0.2674952447414398,,1.0
