fotograma,tipo_objeto,confianza,id_tracking,x1,y1,x2,y2,matricula_en_su_caso,conf_matricula,mx1,my1,mx2,my2,texto_matricula
4,matricula,0.27705541253089905,4,1741,817,1866,854,True,0.27705541253089905,1741,817,1866,854,
5,matricula,0.2602344751358032,5,1669,822,1788,853,True,0.2602344751358032,1669,822,1788,853,
6,matricula,0.8845753073692322,6,1834,801,1919,876,True,0.8845753073692322,1834,801,1919,876,TME
6,matricula,0.42406535148620605,6,1599,819,1716,854,True,0.42406535148620605,1599,819,1716,854,
7,matricula,0.8613740801811218,7,1763,807,1919,869,True,0.8613740801811218,1763,807,1919,869,TM55CZ
8,matricula,0.7874894142150879,8,1700,802,1915,863,True,0.7874894142150879,1700,802,1915,863,Tk55C2544
9,matricula,0.9644124507904053,9,1638,800,1875,860,True,0.9644124507904053,1638,800,1875,860,Ths5c25446
9,matricula,0.31390029191970825,9,1857,422,1920,483,True,0.31390029191970825,1857,422,1920,483,RTER
10,matricula,0.8904001712799072,10,1583,799,1816,856,True,0.8904001712799072,1583,799,1816,856,7n55C25446]
10,matricula,0.6952835321426392,10,1857,420,1919,481,True,0.6952835321426392,1857,420,1919,481,@TER
10,matricula,0.3736802637577057,10,722,824,770,844,True,0.3736802637577057,722,824,770,844,
11,matricula,0.8936574459075928,11,1537,799,1756,853,True,0.8936574459075928,1537,799,1756,853,7m55C25446
11,matricula,0.5324170589447021,11,1857,418,1920,481,True,0.5324170589447021,1857,418,1920,481,GIER
12,matricula,0.9023092985153198,12,1489,798,1697,853,True,0.9023092985153198,1489,798,1697,853,7h55c25446
12,matricula,0.43653547763824463,12,1857,419,1920,481,True,0.43653547763824463,1857,419,1920,481,PETER
13,matricula,0.918869137763977,13,1445,798,1644,852,True,0.918869137763977,1445,798,1644,852,Th55C25446/
13,matricula,0.5147857069969177,13,1857,420,1920,481,True,0.5147857069969177,1857,420,1920,481,RETER
14,matricula,0.8946201205253601,14,1401,798,1598,846,True,0.8946201205253601,1401,798,1598,846,7N55C25446
14,matricula,0.5000612735748291,14,1857,420,1920,480,True,0.5000612735748291,1857,420,1920,480,PTER
15,matricula,0.861408531665802,15,1363,799,1559,844,True,0.861408531665802,1363,799,1559,844,7m55C25446
15,matricula,0.5869505405426025,15,1858,420,1920,479,True,0.5869505405426025,1858,420,1920,479,PTER
16,matricula,0.8553176522254944,16,1327,799,1516,843,True,0.8553176522254944,1327,799,1516,843,Tn55C25446
16,matricula,0.6805073618888855,16,1857,422,1920,479,True,0.6805073618888855,1857,422,1920,479,PETER
17,matricula,0.8201914429664612,17,1290,799,1478,843,True,0.8201914429664612,1290,799,1478,843,7n55c25406
17,matricula,0.6846651434898376,17,1857,422,1920,479,True,0.6846651434898376,1857,422,1920,479,PETER
18,matricula,0.7878792881965637,18,1264,796,1440,841,True,0.7878792881965637,1264,796,1440,841,7n55c25029
18,matricula,0.7129127383232117,18,1857,422,1919,479,True,0.7129127383232117,1857,422,1919,479,PETER
19,matricula,0.7841063141822815,19,1233,797,1407,840,True,0.7841063141822815,1233,797,1407,840,Tm55C25446|
19,matricula,0.6689072847366333,19,1858,420,1919,478,True,0.6689072847366333,1858,420,1919,478,PETER
20,matricula,0.7817889451980591,20,1205,795,1377,838,True,0.7817889451980591,1205,795,1377,838,TM55C75446
20,matricula,0.7367275953292847,20,1858,419,1919,477,True,0.7367275953292847,1858,419,1919,477,PTEF
21,matricula,0.878337025642395,21,1181,795,1342,837,True,0.878337025642395,1181,795,1342,837,Tn55c75406]
21,matricula,0.7412731051445007,21,1858,419,1919,477,True,0.7412731051445007,1858,419,1919,477,PTEF
22,matricula,0.869952380657196,22,1156,792,1313,835,True,0.869952380657196,1156,792,1313,835,Tn55c25006)
22,matricula,0.701433539390564,22,1858,419,1919,477,True,0.701433539390564,1858,419,1919,477,FTeR
23,matricula,0.89249187707901,23,1134,792,1287,834,True,0.89249187707901,1134,792,1287,834,7N55C75408
23,matricula,0.7036234736442566,23,1857,420,1919,477,True,0.7036234736442566,1857,420,1919,477,ATER
24,matricula,0.8719905018806458,24,1112,792,1261,834,True,0.8719905018806458,1112,792,1261,834,7M55C25446L
24,matricula,0.7452771067619324,24,1858,419,1919,477,True,0.7452771067619324,1858,419,1919,477,PTEF
25,matricula,0.9099161624908447,25,1090,792,1237,832,True,0.9099161624908447,1090,792,1237,832,7n55c25026
25,matricula,0.7441415786743164,25,1858,416,1919,476,True,0.7441415786743164,1858,416,1919,476,PTEF
25,matricula,0.2874719798564911,25,1737,866,1773,909,True,0.2874719798564911,1737,866,1773,909,
25,matricula,0.26192525029182434,25,56,986,199,1033,True,0.26192525029182434,56,986,199,1033,
26,matricula,0.9325350522994995,26,1067,791,1213,833,True,0.9325350522994995,1067,791,1213,833,7n55C25406
26,matricula,0.779157280921936,26,1858,416,1919,477,True,0.779157280921936,1858,416,1919,477,GTER
26,matricula,0.27145513892173767,26,1737,866,1773,909,True,0.27145513892173767,1737,866,1773,909,
27,matricula,0.9544968605041504,27,1046,790,1190,829,True,0.9544968605041504,1046,790,1190,829,Ks5c25a6h
27,matricula,0.7562317252159119,27,1858,417,1919,476,True,0.7562317252159119,1858,417,1919,476,RTEF
28,matricula,0.9571585059165955,28,1025,790,1166,828,True,0.9571585059165955,1025,790,1166,828,1n55C25406
28,matricula,0.7936976552009583,28,1858,418,1919,476,True,0.7936976552009583,1858,418,1919,476,FTEF
28,matricula,0.26832178235054016,28,1737,864,1771,908,True,0.26832178235054016,1737,864,1771,908,
29,matricula,0.9257206320762634,29,1012,791,1147,828,True,0.9257206320762634,1012,791,1147,828,7x55C25166
29,matricula,0.7851988673210144,29,1858,417,1919,476,True,0.7851988673210144,1858,417,1919,476,FTEF
29,matricula,0.267093688249588,29,1737,864,1772,908,True,0.267093688249588,1737,864,1772,908,
