frame,id_tracking,tipo_objeto,confianza,x1,y1,x2,y2,texto_matricula
94,,matricula,0.32334837317466736,1454,336,1505,371,
95,,matricula,0.48419585824012756,1454,335,1505,370,
96,,matricula,0.43555471301078796,1447,333,1508,371,
97,,matricula,0.4709889590740204,1445,331,1509,373,
98,,matricula,0.31038251519203186,1445,333,1509,371,
99,,matricula,0.29248911142349243,1442,331,1510,370,
100,,matricula,0.41448715329170227,1441,332,1510,370,
643,,matricula,0.3392268121242523,993,285,1070,317,AD
700,,matricula,0.47322168946266174,971,304,1032,332,
701,,matricula,0.5002454519271851,970,304,1033,332,
703,,matricula,0.48873451352119446,970,304,1036,332,
704,,matricula,0.44769901037216187,970,303,1037,332,
705,,matricula,0.32879844307899475,970,306,1036,334,
706,,matricula,0.31875866651535034,970,307,1036,335,
786,,matricula,0.27784377336502075,717,442,810,471,
787,,matricula,0.35526901483535767,696,448,791,474,
789,,matricula,0.5041419267654419,654,455,753,484,
790,,matricula,0.6331400275230408,629,461,733,489,
792,,matricula,0.7612866163253784,573,472,683,507,
793,,matricula,0.5192016959190369,540,479,658,517,
794,,matricula,0.5936180353164673,515,487,628,522,
795,,matricula,0.2824225425720215,472,495,594,529,
796,,matricula,0.3587508201599121,432,506,556,541,
798,,matricula,0.4606300890445709,334,527,476,570,
799,,matricula,0.4445599615573883,272,542,426,582,
909,,matricula,0.2752433717250824,1566,477,1624,510,
910,,matricula,0.26661184430122375,1592,496,1651,521,
915,,matricula,0.2958686649799347,1754,545,1831,572,
916,,matricula,0.7020531296730042,1799,550,1879,583,
983,,matricula,0.31284278631210327,1881,471,1920,543,
1045,,matricula,0.36748206615448,827,427,901,451,
1047,,matricula,0.5253507494926453,790,431,871,459,
1048,,matricula,0.8083133697509766,769,438,851,466,
1049,,matricula,0.8598702549934387,746,448,831,474,
1050,,matricula,0.7564980983734131,723,453,808,479,
1051,,matricula,0.9632179141044617,695,454,790,484,
1052,,matricula,0.7018882632255554,668,462,767,496,
1053,,matricula,0.7571580410003662,637,469,736,503,
1054,,matricula,0.881523072719574,602,477,708,509,
1055,,matricula,0.940538763999939,565,488,679,522,
1056,,matricula,0.7593885064125061,522,497,639,531,
1057,,matricula,0.25711196660995483,476,505,600,547,
1058,,matricula,0.7440945506095886,421,520,553,561,
1059,,matricula,0.7168644070625305,362,535,501,579,
1060,,matricula,0.6181125640869141,296,552,443,600,
1061,,matricula,0.7626884579658508,207,572,373,622,
1309,,matricula,0.39814406633377075,349,524,480,567,
1356,,matricula,0.4753328859806061,795,414,881,448,
1357,,matricula,0.5426928997039795,779,428,862,456,
1358,,matricula,0.8087372779846191,756,431,846,462,
1359,,matricula,0.7028526067733765,735,437,823,467,
1360,,matricula,0.6250558495521545,713,449,803,473,
1361,,matricula,0.29588982462882996,686,453,775,481,
1362,,matricula,0.4131617546081543,655,452,756,486,
1363,,matricula,0.4784650504589081,625,466,724,497,
1363,,matricula,0.3371918201446533,806,498,865,522,
1364,,matricula,0.7174996137619019,593,476,695,505,
1365,,matricula,0.7669733762741089,553,480,663,512,PA
1366,,matricula,0.767491340637207,515,494,622,525,
1369,,matricula,0.7065567970275879,361,524,488,564,
