epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.55792,1.55129,3.62408,1.37748,0.00337,0.93548,0.53804,0.30683,1.28513,3.32795,1.14457,0.00036,0.00036,0.00036
2,13.9903,1.4544,2.19208,1.22677,0.00341,0.94624,0.47301,0.21642,1.48098,3.41985,1.24121,0.000732674,0.000732674,0.000732674
3,18.2132,1.5289,2.07783,1.27763,0.45717,0.2043,0.28823,0.14781,1.47222,3.27293,1.38048,0.00109782,0.00109782,0.00109782
4,22.4237,1.58219,2.07061,1.32435,0.30624,0.26882,0.22725,0.09842,1.59484,3.24629,1.38272,0.00145545,0.00145545,0.00145545
5,26.601,1.52633,1.86178,1.27569,0.77566,0.46237,0.56189,0.28237,1.62714,2.90099,1.53066,0.00180555,0.00180555,0.00180555
6,30.7879,1.57229,1.77533,1.32054,0.05424,0.35955,0.04301,0.02169,1.61927,5.66821,1.53705,0.001901,0.001901,0.001901
7,35.2223,1.51184,1.64767,1.28108,0.31391,0.49462,0.31211,0.12114,1.88338,11.117,1.96572,0.0018812,0.0018812,0.0018812
8,39.5431,1.46388,1.55877,1.268,0.84775,0.64516,0.74726,0.37691,1.58641,3.8504,1.57324,0.0018614,0.0018614,0.0018614
9,43.9,1.44053,1.43784,1.25416,0.80262,0.69892,0.80172,0.40348,1.66092,2.58055,1.59884,0.0018416,0.0018416,0.0018416
10,48.2542,1.51684,1.40598,1.29572,0.67616,0.70968,0.7554,0.41986,1.63892,2.11528,1.48475,0.0018218,0.0018218,0.0018218
11,52.7051,1.4349,1.34294,1.24533,0.74015,0.73508,0.77988,0.39136,1.50408,2.32682,1.42443,0.001802,0.001802,0.001802
12,57.1643,1.44258,1.25834,1.24522,0.80464,0.75269,0.8054,0.40994,1.58069,1.78545,1.44506,0.0017822,0.0017822,0.0017822
13,61.6063,1.50227,1.318,1.30422,0.8159,0.76248,0.7786,0.4303,1.6083,1.33246,1.3708,0.0017624,0.0017624,0.0017624
14,66.1378,1.39636,1.21615,1.22335,0.8781,0.77459,0.85489,0.47999,1.44487,1.39512,1.3294,0.0017426,0.0017426,0.0017426
15,70.7226,1.42819,1.18946,1.23482,0.83107,0.73118,0.78005,0.41609,1.62795,1.3599,1.42884,0.0017228,0.0017228,0.0017228
16,75.1937,1.37391,1.1049,1.21182,0.90683,0.77419,0.84226,0.44161,1.48185,1.2246,1.31081,0.001703,0.001703,0.001703
17,79.7607,1.41472,1.11583,1.23479,0.95821,0.73966,0.86283,0.45757,1.4945,1.15043,1.40802,0.0016832,0.0016832,0.0016832
18,84.3888,1.44261,1.14446,1.20698,0.88086,0.71553,0.81652,0.43313,1.49117,1.21538,1.34684,0.0016634,0.0016634,0.0016634
19,89.013,1.35547,1.06284,1.21073,0.88304,0.81183,0.87353,0.49511,1.49169,1.11764,1.37519,0.0016436,0.0016436,0.0016436
20,93.6577,1.34902,1.01067,1.20878,0.81225,0.83736,0.84206,0.47337,1.42797,1.08935,1.29341,0.0016238,0.0016238,0.0016238
21,98.5445,1.38323,0.98381,1.20125,0.89911,0.83871,0.87976,0.44754,1.47678,1.07825,1.34568,0.001604,0.001604,0.001604
22,103.263,1.33909,0.96437,1.1886,0.86058,0.74194,0.85418,0.47189,1.44619,1.01811,1.29552,0.0015842,0.0015842,0.0015842
23,108.076,1.31675,0.95326,1.17794,0.8841,0.82022,0.89082,0.47508,1.45691,0.96304,1.31519,0.0015644,0.0015644,0.0015644
24,112.887,1.30458,0.92268,1.1778,0.84705,0.83374,0.90276,0.5066,1.45971,0.94308,1.33104,0.0015446,0.0015446,0.0015446
25,117.865,1.26415,0.90233,1.15604,0.88914,0.82796,0.9065,0.46264,1.47847,0.96376,1.36347,0.0015248,0.0015248,0.0015248
26,122.717,1.34494,0.92471,1.20059,0.91441,0.78495,0.87549,0.4755,1.52417,1.01643,1.36791,0.001505,0.001505,0.001505
27,127.683,1.31007,0.90489,1.18595,0.89609,0.7957,0.88517,0.52009,1.4284,1.00543,1.24587,0.0014852,0.0014852,0.0014852
28,132.88,1.24701,0.83128,1.14567,0.91646,0.77419,0.90255,0.48438,1.49097,1.01081,1.36418,0.0014654,0.0014654,0.0014654
29,137.81,1.27169,0.87995,1.1789,0.86875,0.86022,0.89074,0.4889,1.48649,1.00583,1.32241,0.0014456,0.0014456,0.0014456
30,143.008,1.28327,0.8476,1.16301,0.9001,0.8172,0.86214,0.49335,1.45762,0.97821,1.31333,0.0014258,0.0014258,0.0014258
31,148.204,1.27643,0.85186,1.16682,0.96586,0.80645,0.91293,0.4965,1.47445,0.95255,1.32537,0.001406,0.001406,0.001406
