epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.17055,1.56908,4.12939,1.57172,0.00033,0.09091,0.0014,0.00078,1.53873,4.07974,1.57698,0.00018,0.00018,0.00018
2,4.98745,1.19952,3.74253,1.2121,0.00267,0.72727,0.1905,0.13642,1.11266,3.66351,1.06584,0.000376238,0.000376238,0.000376238
3,7.29776,1.20172,2.91519,1.12555,0.003,0.81818,0.35962,0.17487,1.06183,3.36927,1.03773,0.000568516,0.000568516,0.000568516
4,9.72087,1.24606,2.55538,1.14407,0.22766,0.36364,0.43016,0.1467,1.10937,3.42492,1.08021,0.000756834,0.000756834,0.000756834
5,12.0886,1.2424,2.32091,1.10573,0.6508,0.36364,0.49717,0.27876,1.30538,3.15612,1.09743,0.000941192,0.000941192,0.000941192
6,15.4892,1.20022,2.18313,1.12088,0.68858,0.27273,0.47841,0.32271,1.14148,2.85567,1.11472,0.00112159,0.00112159,0.00112159
7,18.3702,1.12429,2.22718,1.06168,0.68858,0.27273,0.47841,0.32271,1.14148,2.85567,1.11472,0.00129803,0.00129803,0.00129803
8,21.1341,1.1961,1.99332,1.09014,0.47799,0.27273,0.46581,0.27791,1.29794,2.96028,1.19649,0.00147051,0.00147051,0.00147051
9,22.7329,1.32308,2.08941,1.16491,0.50622,0.54545,0.50388,0.30879,1.44042,2.63178,1.30913,0.00163902,0.00163902,0.00163902
10,24.6974,1.23986,2.06817,1.14372,0.50622,0.54545,0.50388,0.30879,1.44042,2.63178,1.30913,0.00180358,0.00180358,0.00180358
11,26.4953,1.22903,2.1761,1.10444,0.63608,0.47872,0.48785,0.28476,1.38455,2.61259,1.24833,0.001802,0.001802,0.001802
12,28.718,1.32196,2.34353,1.13812,0.9735,0.45455,0.56596,0.37838,1.33574,2.71832,1.12565,0.0017822,0.0017822,0.0017822
13,30.455,1.23111,2.0697,1.11915,0.9735,0.45455,0.56596,0.37838,1.33574,2.71832,1.12565,0.0017624,0.0017624,0.0017624
14,32.0143,1.22572,2.05691,1.15502,0.67965,0.58087,0.65708,0.40426,1.34876,2.74931,1.16782,0.0017426,0.0017426,0.0017426
15,33.8449,1.14838,2.08067,1.16217,0.96327,0.63636,0.73409,0.4886,1.31273,2.6759,1.10212,0.0017228,0.0017228,0.0017228
16,35.3747,1.2032,1.92785,1.16851,0.96327,0.63636,0.73409,0.4886,1.31273,2.6759,1.10212,0.001703,0.001703,0.001703
17,36.8972,1.23285,1.94539,1.1515,0.63771,0.63636,0.71064,0.44128,1.38976,2.52253,1.14996,0.0016832,0.0016832,0.0016832
18,38.3633,1.23935,2.09372,1.10556,0.63771,0.63636,0.71064,0.44128,1.38976,2.52253,1.14996,0.0016634,0.0016634,0.0016634
19,39.9498,1.15389,1.81729,1.08939,0.67879,0.77026,0.70929,0.3976,1.37085,2.34011,1.13727,0.0016436,0.0016436,0.0016436
20,41.5249,1.10011,1.9573,1.04431,0.78261,0.81818,0.74562,0.43605,1.35068,2.09112,1.12046,0.0016238,0.0016238,0.0016238
21,43.0709,0.96145,1.80761,0.9869,0.78261,0.81818,0.74562,0.43605,1.35068,2.09112,1.12046,0.001604,0.001604,0.001604
